,stemmedComment
4087,"['bentar', 'lagi', 'dprd', 'dki', 'jakarta', 'nih', 'sapu', 'bersihberani', 'enggak', 'ya', 'kpkuddudee']"
4088,"['korupsi', 'jamaah']"
4089,"['pantas', 'saja', 'anggota', 'dpr', 'ada', 'benci', 'kpk', 'karena', 'memang', 'kpk', 'sering', 'ringkus', 'tikus', 'got', 'good', 'job', 'kpk', 'jangan', 'geming', 'dengan', 'ulah', 'dan', 'ujar', 'aggota', 'dpr', 'ada', 'tangkap', 'semua', 'tikus', 'got', 'di', 'negeri', 'ini']"
4090,"['itu', 'baru', 'di', 'kota', 'malang', 'belum', 'di', 'kota', 'lain', 'wah', 'bisa', 'penuh', 'nih', 'semua', 'rutan']"
4091,"['gila', 'korupsi', 'kompak']"
4092,"['haduhhhkompak', 'banget', 'deh', 'semua', 'partai', 'masuk', 'sisa', 'orang', 'dari', 'pkb', 'ketua', 'kapan', 'orang', 'pdip', 'orang']"
4093,"['pada', 'enggak', 'punya', 'tuhan', 'kali', 'ya', 'enggak ada', 'takut', 'buat', 'dosa', 'korupsi', 'jamaah', 'bubarin', 'saja', 'itu']"
4094,"['hadeh', 'cuma', 'juta', 'juta', 'segitu', 'murah', 'kah', 'harga', 'anggota', 'dprd']"
4095,"['korupsi', 'cuma', 'juta', 'nanggung', 'amat']"
4096,"['akhir', 'kota', 'malang', 'ikut', 'tren', 'kota', 'medan', 'ayo', 'kpk', 'sapu', 'bersih', 'di', 'kota', 'ikut', 'mantap']"
4097,"['kpk', 'kadang', 'sering', 'cari', 'sensasi', 'juga']"
4098,"['hak', 'asasi', 'kata', 'bawaslu', 'korupsi', 'itu', 'hak', 'asasi']"
4099,"['bulanbulan', 'ini', 'celah', 'bagi', 'anggota', 'dprd', 'meminta', 'jatah', 'gratifikasi', 'kepada', 'kepala', 'daerah', 'untuk', 'lolos', 'apbdp', 'di', 'daerah', 'untuk', 'itu', 'jajar', 'kpk', 'mohon', 'rapat', 'baris', 'untuk', 'pantau', 'di', 'seluruh', 'daerah', 'di', 'indonesia']"
4100,"['enak', 'giniyg', 'kerja', 'cuma', 'orangmw', 'korupsi', 'lagi', 'kan', 'lgsng', 'ketahuanwkwkwkwkbilangnya', 'sampai', 'aspirasi', 'rakyatya', 'jaman', 'sudah', 'canggihkirim', 'email', 'juga', 'nyampekuda', 'uang', 'tabung', 'buat', 'haji', 'apa', 'umroh', 'apa', 'yang', 'lebih', 'manfaat', 'begitu', 'dari', 'pada', 'buat', 'kampanye']"
4101,"['sudah', 'cukupbagi', 'rejeki', 'buat', 'yang', 'lajnyg', 'belum', 'dudukbaik', 'no', 'urut', 'bawah', 'nyatopun', 'calon', 'dpr', 'lainnyincumbent', 'yang', 'nyalon', 'lagi', 'pasti', 'punya', 'kuat', 'finasialjd', 'ayok', 'semangat', 'buat', 'calon', 'dua', 'n', 'ketigapeluang', 'buka', 'lebardn', 'moga', 'lebih', 'amanahtidak', 'sungkur', 'kak', 'kali', 'l']"
4102,"['mungkin', 'dpr', 'harus', 'di', 'tiada']"
4103,"['enggak', 'usah', 'tanya', 'deh', 'bapak', 'ibu', 'atas', 'sana', 'tau', 'kok', 'masalah', 'nya', 'cuma', 'mereka', 'enggak', 'tindak', 'mereka', 'memilih', 'diam']"
4104,"['enggak', 'mirisini', 'nama', 'cetak', 'rekor', 'muri', 'dong', 'haha']"
4105,"['bagusx', 'kalau', 'nama', 'partai', 'juga', 'cantum', 'supaya', 'kita', 'tau', 'anggota', 'dpr', 'dari', 'partai', 'mana', 'yang', 'kakap', 'hehehe']"
4106,"['malang', 'kota', 'malangduhduh']"
4107,"['solusi', 'cepat', 'pimpin', 'yang', 'dari', 'tukang', 'kayu', 'harus', 'di', 'ganti', 'dengan', 'pimpin', 'yang', 'dari', 'general', 'militer', 'biar', 'indonesia', 'punya', 'wibawa', 'untuk', 'indonesia', 'dan', 'luar', 'negeri', 'amin']"
4108,"['itu', 'makanya', 'kenapa', 'orang', 'ambisi', 'jadi', 'pejabatselain', 'mana', 'orang', 'hormat', 'selain', 'itu', 'uang', 'mereka', 'bisa', 'sikat', 'modal', 'awal', 'enggak', 'berapa', 'kalau', 'di', 'banding', 'apa', 'yang', 'mereka', 'hasil', 'telah', 'menajabatjadi', 'kita', 'rakyat', 'kecil', 'biasa', 'saja', 'kalau', 'dukung', 'calon', 'jabat', 'soale', 'tetap', 'kita', 'rakyat', 'kecil', 'yang', 'akan', 'peras', 'keringat', 'untuk', 'mereka']"
4109,"['enggak', 'usah', 'kuatir', 'hukum', 'paling', 'tahun', 'bebas', 'dan', 'nanti', 'bantu', 'bawaslu', 'buat', 'nyaleg', 'lagi', 'uddude']"
4110,"['kosong', 'dong', 'kantor', 'nya']"
4111,"['wkwk', 'yang', 'dukung', 'ganti', 'presiden', 'inimah']"
4112,"['telah', 'bebas', 'nyaleg', 'lagi', 'brooo', 'seperti', 'habis', 'orang', 'jujur', 'di', 'indonesia', 'ini', 'yang', 'koruptor', 'kok', 'bisa', 'maju', 'lagi', 'hadehhh']"
4113,"['ckckck', 'bancak']"
4114,"['what', 'korupsi', 'masal', 'besar', 'kpk', 'kayak', 'masih', 'tengah', 'tidur', 'main', 'ecek', 'sih', 'juta', 'bawah', 'dprd', 'itu', 'ecek', 'coba', 'anda', 'monitor', 'semua', 'kad', 'punya', 'seluruh', 'indonesia', 'bisa', 'full', 'itu', 'penjara', 'apakah', 'ini', 'akan', 'langsung', 'terus', 'rubah', 'sistem', 'cegah', 'kalau', 'begini', 'terus', 'sampai', 'kapan', 'korupsi', 'akan', 'ada', 'terus']"
4115,"['horeeemereka', 'enggak', 'kesepianwkwkwkwkw']"
4116,"['bawaslu', 'harus', 'tembak', 'mati', 'duluan']"
4117,"['asingnkan', 'turun', 'anggota', 'yang', 'korupsi']"
4118,"['salutt', 'untuk', 'yang', 'orang', 'lain']"
4119,"['bubarbubarpaling', 'banyak', 'dari', 'pdippkb']"
4120,"['korupsi', 'di', 'indonesia', 'enggak', 'bakal', 'hilang']"
4121,"['harus', 'yang', 'buat', 'jerah', 'orang', 'koruptor', 'itu', 'adalah', 'hukum', 'belum', 'hukum', 'tidak', 'dirobah', 'korup', 'akan', 'tetap', 'rajalela', 'coba', 'laku', 'hukum', 'mati', 'seperti', 'di', 'jepang', 'dan', 'cina', 'pasti', 'orang', 'akan', 'pikir', 'kali', 'untuk', 'laku', 'korup']"
4122,"['nggilani', 'good', 'job', 'kpk', 'berantas', 'kabeh']"
4123,"['kalian', 'luar', 'biasaaaaa']"
4124,"['dewan', 'ampo', 'rakyat', 'daerah']"
4125,"['jiahahahakata', 'apa', 'jul', 'tuh', 'jabat', 'habisya', 'turut', 'gua', 'habis', 'saja', 'tuh', 'jabat', 'korupmasih', 'banyak', 'kok', 'yang', 'jujur', 'juganegara', 'ini', 'punya', 'juta', 'jiwa']"
4126,"['jika', 'di', 'selidik', 'dengan', 'benar', 'saya', 'rasa', 'di', 'tiap', 'kabupaten', 'kota', 'tidak', 'akan', 'jauh', 'beda']"
4127,"['jakarta', 'tunggu', 'gilir']"
4128,"['jemaah', 'lagi']"
4129,"['malang', 'duh', 'malang', 'benar']"
4130,"['biarpun', 'kpk', 'berangus', 'tapi', 'bawaslu', 'biar', 'maju', 'lagi', 'para', 'koruptorartinyaparno', 'bro']"
4131,"['tapi', 'aneh', 'nya', 'pada', 'saat', 'pilih', 'anggota', 'legislatif', 'pilih', 'lagi', 'masyarakat', 'nya', 'yang', 'kurang', 'informasi', 'atau', 'sering', 'menonton', 'sinetron', 'ya', 'aneh']"
4132,"['hukum', 'gantung']"
4133,"['dpr', 'enggak ada', 'guna', 'isi', 'maling']"
4134,"['hebat', 'ya', 'musti', 'masuk', 'guinness', 'book', 'of', 'world', 'records', 'nih', 'uddudcf']"
4135,"['malang', 'benar', 'nasib', 'kota', 'nya']"
4136,"['kata', 'belah', 'revolusi', 'mental', 'kacau', 'apa', 'ya', 'hayoo', 'apa', 'pikir', 'sendiri', 'saja', 'deh']"
4137,"['hemzt', 'cuman', 'bisa', 'gelenggeleng', 'kepala', 'n', 'ngelus', 'dada', 'ini', 'kata', 'wakil', 'rakyat', 'tapi', 'malah', 'maling', 'uang', 'rakyat']"
4138,"['lah', 'baru', 'tau', 'sekarang', 'sudah', 'biasa', 'itu', 'mah']"
4139,"['hebatanggota', 'dewan', 'indonesiamalu', 'kita', 'kepada', 'duniahadeeeeeh', 'bagaimana', 'dengan', 'rakyat', 'nya', 'yang', 'makin', 'hari', 'makin', 'miris', 'hidup', 'nyahancur', 'republik', 'ini']"
4140,"['ya', 'begitu', 'deh', 'rame', 'memang', 'braninya', 'mereka']"
4141,"['kadang', 'malas', 'komen', 'juga', 'hukumanya', 'paling', 'thcoba', 'kalo', 'maling', 'coklat', 'kayubisanya', 'di', 'hukum', 'thbom', 'saja', 'tuh', 'hakim']"
4142,"['korupsi', 'makin', 'masif', 'di', 'era', 'ini', 'kemana', 'itu', 'jargon', 'revolusi', 'mental']"
4143,"['kurang', 'dikit', 'bisa']"
4144,"['arema', 'mana', 'suaraaanyaaaaa', 'udeuddudeuddudeudd']"
4145,"['buset', 'korupsi', 'jamaah', 'nihhrakuss', 'sekali']"
4146,"['sita', 'harta', 'dan', 'cabut', 'kewarganegaraannya', 'biar', 'pada', 'kapokkkkk']"
4147,"['buset', 'korupsi', 'jamaah', 'nihhrakuss', 'sekali']"
4148,"['enak', 'uang', 'rakyat', 'di', 'buat', 'genduri']"
4149,"['biar', 'ada', 'efek', 'jera', 'laku', 'hukum', 'mati']"
4150,"['dpr', 'sarang', 'kuorupsi', 'bubarkandpr']"
4151,"['mantabbakal', 'libur', 'panjang']"
4152,"['jamaaaahh', 'oooo', 'jamaahudeuddd']"
4153,"['wah', 'pengiiiiinnnnn', 'ikut', 'dong']"
4154,"['jangan', 'lupa', 'setor', 'ke', 'bawaslu', 'ya']"
4155,"['bom', 'hebat', 'itu', 'di', 'dprd', 'prov', 'jambi', 'kmungkinan', 'bakal', 'malah', 'weeek']"
4156,"['cakkeepp', 'cabut', 'sampai', 'akar', 'akar']"
4157,"['edyaaann', 'tenan']"
4158,"['sumut', 'jambi', 'malang', 'cermin', 'dprd', 'seluruh', 'indonesia']"
4159,"['kantor', 'dprd', 'tahan', 'orang', 'koruptor', 'dan', 'orang', 'lain', 'jenguk', 'tahan']"
4160,"['perlu', 'jadi', 'kaji', 'dan', 'ada', 'aksi', 'nyata', 'tidak', 'hanya', 'tindak', 'tapi', 'cegah']"
4161,"['omg', 'bisa', 'masuk', 'muri', 'ini', 'mah', 'hukum', 'maksimal', 'saja', 'biar', 'ada', 'efek', 'jera', 'contoh', 'yang', 'rusak']"
4162,"['anjir', 'wkwkwkwkw', 'sadisss', 'bosss', 'benar', 'kata', 'dosen', 'gue', 'kalau', 'indonesia', 'mau', 'bebas', 'atau', 'kurang', 'koruptor', 'mesti', 'ganti', 'generasi']"
4163,"['lanjut', 'para', 'dewan']"
4164,"['wow', 'atlet', 'dprd', 'kota', 'malang', 'dapat', 'emas', 'keren']"
4165,"['enggak', 'usah', 'pakai', 'dek', 'pe', 'er']"
4166,['mirisssssss']
4167,"['mantap', 'jakarta', 'kapan', 'nih', 'kpk', 't', 'loh', 'itu', 'enggak', 'ada', 'bentuk', 'apa', 'di', 'jakarta']"
4168,"['sudah', 'mending', 'indonesia', 'bubaaaar', 'bubaaarrr']"
4169,"['harus', 'diapakan', 'ya', 'biar', 'nggapada', 'berani', 'korupsi']"
4170,"['malang', 'benar', 'nasib']"
4171,"['plis', 'malu', 'dong']"
4172,"['sekal', 'tangkap', 'yang', 'kurupsi', 'gedeanjgn', 'cuma', 'yang', 'kecil']"
4173,"['gas', 'terus', 'kpk', 'sih', 'negeri', 'ini', 'dari', 'tikus', 'das']"
4174,"['mantappppp', 'lanjutkanuddudcc']"
4175,"['malu', 'rusak', 'satu', 'daerah']"
4176,"['tenang', 'bawaslu', 'nya', 'pro', 'kok', 'sama', 'koruptorpasti', 'bisa', 'nyaleg', 'terus']"
4177,"['ntav', 'ya', 'bagi', 'bagi', 'duit']"
4178,"['ini', 'kompak', 'kabupaten', 'malang', 'kapan', 'gilir']"
4179,"['besok', 'kantor', 'dprd', 'libur', 'panjang']"
4180,"['yang', 'di', 'senayan', 'kayak', 'lebih', 'banyak', 'tuh', 'kok', 'man', 'aman', 'jaya', 'ya']"
4181,"['mantab', 'gunung', 'es', 'mau', 'sampai', 'kapan', 'terus', 'begini']"
4182,"['kayak', 'sudah', 'biasa', 'suap', 'tetap', 'anggar', 'pimpin', 'daerah', 'sih', 'mau', 'cepatan', 'saja', 'tuju', 'proyek', 'ada', 'untuk', 'bagi', 'bagi', 'rejeki', 'legislatif', 'eksekutif', 'kerjasama', 'sangat', 'yakin', 'di', 'dprd', 'lain', 'juga', 'ada', 'praktek', 'yang', 'begini', 'ada', 'juga', 'tuh', 'yang', 'jalan', 'gratis', 'ke', 'luar', 'negeri', 'kedok', 'dinas', 'dana', 'bansos', 'dipakai', 'untuk', 'menang', 'salah', 'satu', 'paslon', 'di', 'pilkada', 'dll', 'baik', 'kpk', 'terus', 'gerak', 'di', 'daerah']"
4183,"['prestasi', 'dong', 'kaya', 'atlet', 'kita']"
4184,"['korupsi', 'berjemaahgak', 'malu', 'apaibadahnya', 'buat', 'apa', 'kalo', 'masih', 'korupsi']"
4185,"['memasukkan', 'kamar', 'terus', 'poging']"
4186,"['saat', 'hukum', 'berat', 'buat', 'para', 'koruptor', 'sayang', 'enggak', 'ada', 'anggota', 'dpr', 'yang', 'ngusulin', 'revisi', 'uu', 'tipikor', 'agar', 'lebih', 'berat', 'hukum', 'buat', 'para', 'koruptor', 'dan', 'saya', 'yakin', 'mereka', 'itu', 'tidak', 'pro', 'berantas', 'korupsi']"
4187,"['segera', 'hukum', 'mati', 'bagi', 'koruptor', 'masuk', 'suap', 'dan', 'terima', 'suap', 'kondisi', 'sudah', 'lama', 'darurat', 'korup', 'massal']"
4188,"['libas', 'terus', 'kpk', 'jangan', 'kasih', 'kendor']"
4189,"['dprdnya', 'habis', 'walikotanya', 'tahan', 'autopilot', 'mode', 'on']"
4190,"['ingin', 'ku', 'kata', 'kasar']"
4191,"['bubar', 'dong', 'dprd', 'malang', 'udeuddudeudduddude']"
4192,"['ini', 'yang', 'bikin', 'gue', 'golput', 'dan', 'enggak', 'bakal', 'ikut', 'pileg']"
4193,"['paling', 'banyak', 'partai', 'mana', 'tuh']"
4194,"['enggak', 'menyangka', 'malang', 'kok', 'bejat', 'itu', 'ya', 'anggota', 'hewan', 'malang', 'betul', 'nasib', 'warga', 'malang', 'tipu', 'habis']"
4195,"['moral', 'jabat', 'sudah', 'rusak']"
4196,"['kasih', 'kau', 'warga', 'malang', 'lena', 'sama', 'janji', 'janji', 'politis', 'partai', 'maling', 'waktu', 'kampanye']"
4197,"['kab', 'probolinggo', 'juga', 'pantau']"
4198,"['bagus', 'lah', 'segera', 'daftar', 'ke', 'guines', 'book', 'of', 'record']"
4199,"['uang', 'rakyat', 'yang', 'di', 'garong', 'mereka', 'itu', 'tapi', 'gerindra', 'berani', 'sekali', 'lawan', 'hendak', 'rakyat', 'dengan', 'masih', 'usaha', 'gol', 'anggota', 'yang', 'mantan', 'napi', 'korupsi', 'untuk', 'kembali', 'jadi', 'caleg', 'saat', 'kita', 'rakyat', 'indonesia', 'milik', 'negara', 'ini', 'hukum', 'partai', 'dukung', 'koruptor']"
4200,"['sepi', 'dong', 'dprd', 'malang']"
4201,"['yang', 'khianat', 'tuh', 'kagak', 'normal']"
4202,"['partai', 'nya', 'dari', 'mana', 'saja', 'tuh']"
4203,"['sudah', 'kantor', 'dprd', 'buat', 'rutan', 'kpk', 'saja', 'biar', 'enggak', 'repot']"
4204,"['emejinggerakan', 'kayak', 'diri', 'dengan', 'ambil', 'uang', 'rakyat']"
4205,['rekormemalukan']
4206,"['korupsi', 'jamaah', 'luar', 'biasa']"
4207,"['di', 'dpr', 'juga', 'sama', 'beda', 'belum', 'ketangkep']"
4208,"['jemaah', 'kpk', 'perlu', 'bangun', 'rutan', 'baru']"
4209,"['sisir', 'teruspejabat', 'kabupaten', 'tetangga', 'juga', 'tolong', 'di', 'trawang']"
4210,"['yang', 'orang', 'enggak', 'kan', 'orang', 'doang', 'kan', 'kalah', 'sama', 'rapat', 'rt', 'besok', 'yang', 'datang', 'rapat', 'orang', 'doang', 'hehehehhehe']"
4211,"['yang', 'pas', 'bagi', 'bagi', 'enggak', 'masukjadi', 'enggak', 'kena', 'deh']"
4212,"['wow', 'perlu', 'tampil', 'juga', 'asal', 'partai', 'mereka', 'bukankah', 'malang', 'juga', 'kandang', 'banteng']"
4213,"['masuk', 'muri', 'donguddude']"
4214,['bancaanrek']
4215,"['malu', 'malu', 'ini', 'kota', 'malang']"
4216,"['tangkaaapp', 'terus']"
4217,"['ya', 'pas', 'tinggal', 'sesuai', 'dengan', 'huruf', 'dpr', 'dan', 'ada']"
4218,"['bubar', 'saja', 'dprdmental', 'korup', 'semua']"
4219,"['masyaallah', 'garong', 'duit', 'rakyat', 'bererot', 'kaya', 'keong', 'racun', 'hukum', 'suruh', 'garap', 'sawah', 'biar', 'hasil', 'kalo', 'ada', 'taruh', 'ada', 'lapas', 'senang', 'dia', 'nyogok', 'sipir', 'bisa', 'rasa', 'hotel', 'mnang', 'banyak', 'entar', 'mereka', 'rugi', 'lagi', 'rakyat', 'ngumpanin', 'mereka']"
4220,"['binatang', 'binatang', 'yang', 'enggak', 'puas', 'sama', 'gaji']"
4221,"['asyiikkorupsi', 'jamaah']"
4222,"['malu', 'sekali', 'apa', 'kata', 'dunia']"
4223,"['lagi', 'yang', 'mengasih', 'atau', 'belum', 'sempat', 'terima']"
4224,['horeeeeeeeee']
4225,"['lagi', 'yang', 'mengasih', 'atau', 'belum', 'sempat', 'terima']"
4226,"['abisin', 'tuh', 'orang', 'dpr', 'korup', 'bikin', 'undang', 'hukum', 'mati']"
4227,"['tepuk', 'tangaaaaan', 'plok', 'plok', 'plok', 'plok']"
4228,"['duit', 'receh', 'mata', 'anggota', 'dewan', 'kok', 'masih', 'juga', 'makan', 'kurang', 'kayak', 'ya', 'kalian', 'uang', 'buat', 'gaya', 'hidup', 'mewah']"
4229,"['buat', 'dprd', 'malang', 'apa', 'yang', 'akan', 'bangga', 'malu', 'suap', 'duwit', 'receh', 'duwit', 'haram', 'bravo', 'kpk', 'korupsi', 'di', 'malang', 'sudah', 'kronis', 'masih', 'banyak', 'koruptor', 'di', 'birokrasi', 'yang', 'belum', 'ditangkaphabiskan']"
4230,"['proses', 'hukum', 'harus', 'tetap', 'berjalanga', 'boleh', 'tebang', 'pilih']"
4231,"['sama', 'e', 'sama', 'a', 'l', 'untuk', 'kak', 'a', 'n']"
4232,"['jika', 'korupsi', 'anggap', 'enteng', 'ya', 'seperti', 'ini', 'dengan', 'tidak', 'sungkan', 'dan', 'malu', 'lagi', 'korupsi', 'beramairamai', 'kleptokrasi']"
4233,"['penjara', 'sudah', 'penuh', 'mau', 'dikemanakan', 'lagi']"
4234,"['hancorrrrrrrrrrr', 'semua']"
4235,"['korupsi', 'massal', 'perlu', 'sekali', 'di', 'sunat', 'masal', 'iniuddudeuddudeuddude']"
4236,"['jakarta', 'donktolong', 'di', 'benerin', 'dprd', 'nya', 'sama', 'guberrnurnya']"
4237,"['ya', 'dprd', 'nya', 'orang', 'gppmeringgankan', 'beban', 'rakyatakan', 'lebih', 'baik', 'sih']"
4238,"['lama', 'kagak', 'hukum', 'matiakan', 'tambah', 'lebih', 'banyakmaling', 'negara']"
4239,"['wakil', 'rakyat', 'rampok', 'uang', 'rakyat']"
4240,"['cari', 'kambing', 'hitam', 'suku', 'dan', 'ras', 'tentu', 'tunggu', 'anggota', 'dprd', 'dan', 'dpr', 'lain', 'kapan', 'bongkar', 'main', 'ya']"
4241,"['kapan', 'dong', 'yang', 'bginian', 'hukum', 'mati']"
4242,"['lebih', 'miris', 'lihat', 'laku', 'bawaslu']"
4243,"['nanti', 'kan', 'bisa', 'nyalonin', 'lagi']"
4244,"['wah', 'bawaslu', 'makin', 'menang', 'banyak', 'ini', 'hee']"
4245,"['yang', 'sisa', 'orang', 'itu', 'kalo', 'memang', 'tidak', 'ikut', 'korupsi', 'maka', 'perlu', 'beri', 'harga', 'karena', 'tahan', 'goda', 'uang', 'haram', 'tapi', 'kalo', 'semua', 'korupsi', 'ya', 'wassalam']"
4246,"['bancaan', 'para', 'tikustikus', 'got', 'malumaluin', 'sama', 'keluarga', 'tetangga', 'orang', 'tua', 'uang', 'segitu', 'rugi', 'sama', 'malu', 'dasar', 'enggak', 'punya', 'harga', 'diri']"
4247,"['masih', 'banyak', 'anggota', 'yang', 'rasa', 'ini', 'adalah', 'hal', 'yang', 'normal', 'sisa', 'dari', 'budaya', 'kerja', 'perintah', 'yang', 'masih', 'perlu', 'waktu', 'untuk', 'baik', 'salut', 'untuk', 'kerja', 'kpk']"
4248,"['buju', 'buneng']"
4249,"['zaman', 'koruptor', 'enggak', 'cuma', 'di', 'pusat', 'tapi', 'di', 'daerah', 'kok', 'pada', 'enggak', 'melek']"
4250,"['waowwww', 'fantastis']"
4251,"['good', 'job', 'well', 'done']"
4252,"['bubar', 'bubar', 'dprd']"
4253,"['wkwkwk', 'gila', 'enggak', 'tuh']"
4254,"['kacauuu', 'paraaaah', 'gilaaaaa']"
4255,"['moga', 'iwan', 'fals', 'cipta', 'lagu', 'dengan', 'judul', 'korupsi', 'massal']"
4256,"['wah', 'sisa', 'lagi', 'jadi', 'deh']"
4257,"['buset', 'ngeri', 'kali', 'son']"
4258,"['sisa', 'apakah', 'ada', 'pileg', 'lagi']"
4259,"['mantap', 'tuh', 'lanjut']"
4260,"['terus', 'bagaimana', 'mau', 'rapat', 'kalo', 'hadir', 'cuma', 'saja', 'belum', 'lagi', 'kalo', 'ada', 'yang', 'dinas', 'sakit', 'tidak', 'masuk', 'tanpa', 'terang', 'ada', 'kerja', 'samping', 'sibuk', 'dengar', 'aspirasi', 'rakyat', 'bisa', 'kosong', 'tuh', 'ruang', 'rapat']"
4261,"['korupsi', 'jamaah']"
4262,"['tenangmasih', 'terima', 'kok', 'sama', 'bawaslu', 'kalo', 'mau', 'calon', 'lagi']"
4263,"['terus', 'rapbd', 'nya', 'meting', 'sama', 'siapa']"
4264,"['masih', 'banyak', 'anggota', 'dprd', 'yang', 'belum', 'ketahuansemua', 'korupsi']"
4265,"['astaqfirullah', 'asli', 'moral', 'pki', 'mereka', 'jamaah', 'dalam', 'hal', 'menggrogoti', 'uang', 'rakyat', 'harusnya', 'sholat', 'jamaah', 'bukan', 'korupsi', 'jamaah', 'harus', 'hukum', 'berat', 'agar', 'tidak', 'di', 'tiru', 'oleh', 'generasi', 'lanjut']"
4266,"['korupsi', 'jamaah']"
4267,"['guna', 'juga', 'kagak']"
4268,"['mantap', 'kpk', 'jakarta', 'kapan']"
4269,"['ini', 'yang', 'di', 'malang', 'kota', 'lain', 'insyaalloh', 'pastiiii', 'ada']"
4270,"['omgtuhan', 'ampunilahhh']"
4271,"['kompak', 'sekali', 'ada', 'yang', 'salah', 'dalam', 'didik', 'kita', 'sehingga', 'orang', 'halal', 'korupsi', 'tidak', 'rasa', 'kalau', 'korupsi', 'rampok', 'uanghak', 'rakyat', 'dan', 'menghianati', 'rakyat', 'yang', 'wakil', 'parah']"
4272,"['astaghfirullah', 'demi', 'hukum', 'mereka', 'semua', 'harus', 'pecat', 'dan', 'proses', 'apa', 'ini']"
4273,"['mirissssssekaliuang', 'sgitu', 'korban', 'jabat']"
4274,"['malang', 'nian', 'nasib']"
4275,"['cuma', 'yang', 'enggak', 'korupsi', 'bubar', 'saja', 'bubar', 'jangan', 'jangan']"
4276,"['jamaahhhh', 'ohhh', 'jamaahhhhh', 'astagfiiirullahhhhh']"
4277,"['malang', 'beneeeeer', 'uddudeuddudeuddudeauddudebuddudec']"
4278,"['hahaha', 'kacau', 'sudah', 'tiada', 'saja', 'dprd', 'nyusahinnnn']"
4279,"['ajar', 'yang', 'bagus', 'ikut', 'korupsi', 'jamaah', 'karena', 'ahok', 'tidak', 'ikut', 'korupsi', 'e', 'ktp', 'akhir', 'ikut', 'di', 'penjara', 'juga']"
4280,"['lagi', 'apes', 'kata', 'pak', 'fahri', 'hamzah']"
4281,"['wow', 'jamaah', 'lagi', 'nih']"
4282,"['parah', 'banget', 'dahhhhh']"
4283,"['dpr', 'dprd', 'rumah', 'para', 'koruptor']"
4284,"['sementara', 'bawaslu', 'enak', 'boleh', 'koruptor', 'nyaleg', 'yang', 'tidak', 'moral', 'itu', 'siapa']"
4285,"['alhamdulillah', 'terima', 'kasih', 'kpk', 'hancur', 'biang', 'koruptor', 'semua']"
4286,"['bukan', 'biasa', 'di', 'geruduk', 'acak', 'di', 'pecahin', 'semua', 'barang', 'di', 'bentak', 'orang', 'yang', 'ada', 'di', 'sana', 'wkwkwk']"
4287,"['merinding', 'baca', 'terima kasih', 'gus']"
4288,"['tidak', 'perlu', 'mengurus', 'busana', 'profesi', 'dll', 'yang', 'penting', 'mereka', 'mau', 'bershalawat', 'shalat', 'dst', 'semoga', 'awal', 'dari', 'itu', 'mereka', 'mndptkan', 'cerah', 'hati', 'hidayah', 'untuk', 'bisa', 'menjd', 'lebih', 'baik', 'lagi']"
4289,"['mungkin', 'jalan', 'dengan', 'nyata', 'ust', 'uas', 'ucmendingan', 'orang', 'tato', 'tapi', 'sholat', 'daripada', 'orang', 'enggak', 'tato', 'tapi', 'enggak', 'pernah', 'sholatud']"
4290,"['mungkin', 'jalan', 'dengan', 'nyata', 'ust', 'uas', 'ucmendingan', 'orang', 'tato', 'tapi', 'sholat', 'daripada', 'orang', 'enggak', 'tato', 'tapi', 'enggak', 'pernah', 'sholatud']"
4291,"['ulama', 'yang', 'luar', 'biasa', 'ya', 'seperti', 'ini', 'kalo', 'ceramah', 'mengajak', 'baik', 'masjid', 'itu', 'mah', 'biasa', 'karena', 'orang', 'yang', 'dtng', 'masjid', 'dan', 'mau', 'mengaji', 'insyaallah', 'sudah', 'jadi', 'orang', 'baik', 'tapi', 'justru', 'yang', 'ceramah', 'ajak', 'baik', 'tempat', 'seperti', 'ini', 'yang', 'benar', 'sebut', 'juang', 'dakwah']"
4292,"['kalo', 'mengajak', 'doang', 'mah', 'semua', 'bisacoba', 'kasih', 'modal', 'usaha']"
4293,"['mantap', 'pak', 'lanjut']"
4294,"['ini', 'baru', 'ulama', 'sungguh', 'yang', 'tidak', 'hidup', 'di', 'menara', 'gading', 'sip', 'lah', 'jutkan', 'ustadz']"
4295,"['pikir', 'yang', 'maju', 'ustadz', 'good', 'job']"
4296,"['yang', 'nyinyir', 'saya', 'doa', 'moga', 'pintu', 'baik', 'nya', 'makin', 'buka', 'oleh', 'allah', 'swt']"
4297,"['tauhid', 'dan', 'iman', 'mulai', 'dari', 'yang', 'ringan', 'ringan', 'dan', 'gembira', 'bravo', 'gus', 'miftah']"
4298,"['setuju', 'banget']"
4299,"['pak', 'kyai', 'ada', 'waktu', 'sekali', 'kelompok', 'onar', 'zonk', 'dkk', 'juga', 'para', 'dewan', 'terhotmat', 'dpr', 'di', 'ajak', 'selawat', 'dan', 'mengaji', 'biar', 'enggak', 'pada', 'ribut', 'mulu', 'rebut', 'kursi', 'dan', 'kardus']"
4300,"['entar', 'kalo', 'wapresnya', 'kiyai', 'itu', 'semua', 'pasti', 'tutup', 'ganti', 'dengan', 'psantren', 'rasai']"
4301,"['kapan', 'ada', 'yang', 'mengajak', 'mengaji', 'tikus', 'das', 'seperti', 'novanto', 'dll', 'biar', 'negara', 'selamat']"
