,stemmedComment
53,"['bagus', 'itu', 'biar', 'sadar', 'islam', 'tidak', 'ajar', 'kaum', 'buka', 'aurat', 'bagus', 'lanjut']"
54,"['banser', 'anshor', 'mana', 'suaranyaormas', 'liberal']"
55,"['fan', 'itu', 'ketika', 'simbah', 'yang', 'bicara', 'selalu', 'dibully', 'karena', 'kata', 'kata', 'kes', 'emosional', 'nantang', 'nantang', 'padahal', 'ketika', 'tantang', 'bisa', 'di', 'bukti', 'oleh', 'yang', 'di', 'tantang', 'terus', 'diam', 'tidak', 'ksatria', 'ngakui', 'dan', 'sering', 'jelek', 'jelek', 'orang', 'lain', 'ini', 'yang', 'jadi', 'sebab', 'sering', 'di', 'bully', 'dan', 'orang', 'lain', 'jadi', 'enggak', 'simpati', 'mungkin', 'dia', 'dengan', 'kata', 'seperti', 'itu', 'rasa', 'hebat', 'dia', 'tidak', 'sadar', 'saat', 'nyapres', 'pun', 'rontok', 'saat', 'tahun', 'pun', 'keok', 'arti', 'rakyat', 'enggak', 'percayaseolah', 'bicara', 'dulu', 'urus', 'belakang', 'seperti', 'janji', 'jalan', 'kaki', 'jogja', 'jakarta', 'bukti', 'enggak', 'kan', 'ini', 'mungkin', 'hal', 'sepele', 'bagi', 'dia', 'tapi', 'itu', 'tanam', 'di', 'ingat', 'oranghingga', 'simpul', 'kalo', 'hanya', 'bisa', 'mengomong', 'tok', 'nglakoni', 'ora', 'iso']"
56,"['karena', 'dukung', 'jokowi', 'jadi', 'tidak', 'copot']"
57,"['banyak', 'orang', 'kalong', 'yang', 'makan', 'hoax']"
58,"['kapan', 'hancur', 'lebur', 'gara', 'sih', 'amien', 'ras', 'terima kasih', 'amien', 'lanjut', 'panbakalgurem']"
59,"['padahal', 'sutrisno', 'bakhir', 'ini', 'dulunya', 'rupa', 'sandang', 'dana', 'pak', 'amin', 'rais', 'saat', 'awal', 'reformasi', 'akhir', 'jalan', 'sendiri']"
60,"['orang', 'benar', 'malah', 'tidak', 'dipakai', 'di', 'pansutrisno', 'itu', 'sudah', 'habis', 'demi', 'kapan', 'tapi', 'tetap', 'tidak', 'daya', 'lawan', 'amien', 'raispan', 'cahaya', 'makin', 'tidak', 'sinar', 'sejak', 'amien', 'makin', 'kumat']"
61,"['lagu', 'lama']"
62,"['kapan', 'sekarang', 'butek', 'karena', 'diobok', 'sih', 'amien']"
63,"['karena', 'dukung', 'jadi', 'tidak', 'copot']"
64,"['masak', 'sih', 'dari', 'beberapa', 'ex', 'pimpin', 'kapan', 'yang', 'punya', 'pikir', 'sehat', 'cuma', 'pak', 'sutrisno']"
65,"['tolong', 'koreksi', 'untuk', 'jabat', 'pak', 'pramono', 'itu', 'menseskab', 'bukan', 'mensesneg', 'terima', 'kasih']"
66,"['mantap', 'bukti', 'orang', 'baik', 'pasti', 'banyak', 'yang', 'dukung', 'salam', 'periode']"
67,"['kasih', 'mkan', 'buaya', 'saja', 'orang', 'kayak', 'gin']"
68,"['mantab', 'sebar', 'fitnah', 'bisa', 'tidur', 'di', 'bui', 'juga', 'akhir']"
69,"['allahuakbar', 'alhamdulillah', 'akhir', 'para', 'ahlul', 'fitnah', 'tebar', 'benci', 'sebut', 'penjara', 'juga', 'sudah', 'cukup', 'lama', 'mereka', 'tunggu', 'nikmat', 'lp', 'cipinang']"
70,"['selamat', 'nikmat', 'hukum', 'dunia', 'atas', 'prilaku', 'fitnah', 'tebar', 'benci', 'hukum', 'akhirat', 'yang', 'lebih', 'berat', 'tunggu', 'anda', 'para', 'ahlul', 'fitnah', 'tebar', 'benci']"
71,"['dasar', 'preman', 'enggak', 'tanggung', 'jawab', 'kok', 'malah', 'buron', 'kata', 'lu', 'anak', 'buah', 'wowo', 'yang', 'bocor', 'bocor', 'itu', 'hehehhe']"
72,"['orang', 'grindong', 'enggak', 'akan', 'ngomentari', 'berita', 'ini', 'karena', 'bagi', 'tabir', 'obor', 'rakyat', 'sudah', 'buka', 'bagi', 'oleh', 'rommy']"
73,"['ayo', 'gerombol', 'kok', 'enggak', 'ada', 'yang', 'komentar', 'nih', 'biasa', 'koar', 'bilang', 'langgar', 'ham', 'seperti', 'tangkap', 'teroris', 'pakai', 'senjata', 'lengkap', 'dsb']"
74,"['sik', 'asik', 'selamat', 'nikmat', 'hotel', 'prodeo', 'kawan', 'siapa', 'tebar', 'angin', 'dia', 'tuai', 'badai']"
75,"['buni', 'yaniiii', 'mana', 'anda', 'kejaaarr']"
76,"['wowo', 'enggak', 'sekali']"
77,"['jangan', 'tangkap', 'pimrednya', 'doang', 'tangkap', 'sadang', 'dana', 'dan', 'hubung', 'mereka', 'dengan', 'kandidat', 'capres', 'yang', 'usung']"
78,"['walaupun', 'cuma', 'tahun', 'ente', 'sudah', 'dapat', 'gelar', 'mantan', 'narapidana', 'jelang', 'milu', 'buat', 'lagi', 'biar', 'kurung', 'tahun', 'makan', 'gratis']"
79,"['gantung', 'az']"
80,"['sekali', 'buni', 'yani', 'biar', 'adil']"
81,"['kirim', 'ke', 'kamar', 'bonita', 'bonita', 'itu', 'nama', 'macan']"
82,"['gua', 'paling', 'senang', 'lihat', 'beginian', 'buron', 'sensasi', 'kayak', 'di', 'film', 'hollywood']"
83,"['tungguin', 'saja', 'nih', 'bentar', 'lagi', 'kubu', 'prabocor', 'utama', 'zonk', 'bakal', 'komen', 'lihat', 'saja']"
84,"['karena', 'kabur', 'tambahkan', 'ya', 'hukum', 'nya']"
85,"['ini', 'kabar', 'bagus', 'yang', 'boleh', 'dengar', 'hari', 'ini']"
86,"['telat', 'kabur', 'tongkaciann']"
87,"['mencari', 'duit', 'dari', 'nyebar', 'fitnahduitnya', 'buat', 'makan', 'anak', 'istrimau', 'jadi', 'apa', 'anak', 'makan', 'duit', 'begituan']"
88,"['moga', 'bahagia', 'di', 'rumah', 'yang', 'baru']"
89,"['periksa', 'bank', 'account', 'nya', 'atau', 'bank', 'account', 'keluarga', 'ada', 'transfer', 'enggak', 'dari', 'wowo']"
90,"['moga', 'bisa', 'ajar', 'untuk', 'tidak', 'cari', 'nafkah', 'dari', 'uang', 'hitam', 'dengan', 'cara', 'yang', 'hitam']"
91,"['suntik', 'mati']"
92,"['sikat', 'semua', 'orang', 'orang', 'acau', 'negeri', 'demi', 'uang', 'apalagi', 'mau', 'pilpres', 'malah', 'bikin', 'kacau', 'negara', 'kalo', 'enggak', 'segera', 'dikarungin']"
93,"['habisin', 'saja', 'jok', 'orang', 'yang', 'gangu', 'lu', 'jadi', 'presiden', 'lagi']"
94,"['menunggu', 'buni', 'yani', 'kapan', 'tangkap', 'padahal', 'sudah', 'ada', 'putus', 'adil', 'juga']"
95,"['kok', 'cuma', 'tahun']"
96,"['laaaahhh', 'bukan', 'kata', 'nasbung', 'pemred', 'obor', 'rakyat', 'angkat', 'jadi', 'prekom', 'bumnwelehwelehitu', 'fitnah', 'lagi', 'dong']"
97,"['kapan', 'buni', 'yani']"
98,"['sip', 'tinggal', 'yang', 'kabur', 'umroh', 'enggak', 'balik', 'segera', 'eksekusi', 'pak', 'pol']"
99,"['yang', 'model', 'beginian', 'main', 'fitnah', 'sih', 'mesti', 'di', 'kandangin']"
100,['mantap']
101,['sip']
102,"['moga', 'pas', 'di', 'dalam', 'penjarakeduanya', 'gantung', 'diri']"
103,"['bukti', 'fitnah', 'bukan', 'hina', 'dan', 'ingat', 'fitnah', 'lebih', 'kejam', 'dari', 'bunuh', 'bro']"
104,"['hukum', 'mati']"
105,"['alhamdulillah', 'sih', 'tebar', 'dosa', 'sudah', 'tangkap']"
106,"['jokowi', 'sudah', 'maaf', 'tapi', 'proses', 'hukum', 'tetap', 'laku', 'bos']"
107,['hmm']
108,"['siap', 'buat', 'gerombol', 'micin', 'sama', 'nasi', 'bungkus']"
109,"['tambah', 'hukum', 'karena', 'mau', 'kabur']"
110,"['lho', 'kok', 'cuma', 'tahun', 'tahun', 'pantas', 'kok']"
111,"['yang', 'jamin', 'mau', 'mem', 'back', 'up', 'mereka', 'pada', 'mana', 'mau', 'tani', 'mereka', 'hidup', 'sama', 'di', 'lp', 'cipinang', 'jangan', 'macam', 'ayam', 'sayur', 'lari', 'lintang', 'pukang', 'tinggal', 'kawan']"
112,"['gagah', 'saat', 'bikin', 'obor', 'rakyat', 'mewek', 'dan', 'buron', 'saat', 'proses', 'hukum', 'dasar', 'preman', 'gembeng', 'kalau', 'begini', 'apakah', 'orang', 'yang', 'anda', 'junjung', 'akan', 'ganti', 'bela', 'anda']"
113,"['gantipresiden', 'lihat', 'banget', 'tebang', 'pilih', 'hukum', 'tajam', 'ke', 'lawan', 'politik', 'tumpul', 'ke', 'cebong']"
114,"['orang', 'tambah', 'gemuk', 'makan', 'uang', 'sisa', 'anggar', 'obor', 'rakyat']"
